tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	measurement	method_codes	quality	specimen	treat_temp
this_study:10.1126/science.265.5178.1561	213.0	23.1	c114-10.45:LP-DIR-T:LT-T-Z	1.8962e-06	109	LP-DIR-T:LT-T-Z	g	c114-10.45	523.0
this_study:10.1126/science.265.5178.1561	211.2	11.8	c114-10.45:LP-DIR-T:LT-T-Z	1.7459e-06	110	LP-DIR-T:LT-T-Z	g	c114-10.45	548.0
this_study:10.1126/science.265.5178.1561	209.9	4.0	c114-10.45:LP-DIR-T:LT-T-Z	1.6396e-06	111	LP-DIR-T:LT-T-Z	g	c114-10.45	573.0
this_study:10.1126/science.265.5178.1561	210.7	1.0	c114-10.45:LP-DIR-T:LT-T-Z	1.4509000000000002e-06	112	LP-DIR-T:LT-T-Z	g	c114-10.45	598.0
this_study:10.1126/science.265.5178.1561	209.0	0.0	c114-10.45:LP-DIR-T:LT-T-Z	1.2192e-06	113	LP-DIR-T:LT-T-Z	g	c114-10.45	623.0
this_study:10.1126/science.265.5178.1561	209.2	-0.4	c114-10.45:LP-DIR-T:LT-T-Z	9.826e-07	114	LP-DIR-T:LT-T-Z	g	c114-10.45	648.0
this_study:10.1126/science.265.5178.1561	207.9	-1.8	c114-10.45:LP-DIR-T:LT-T-Z	7.739e-07	115	LP-DIR-T:LT-T-Z	g	c114-10.45	673.0
this_study:10.1126/science.265.5178.1561	209.8	-0.6	c114-10.45:LP-DIR-T:LT-T-Z	5.597000000000001e-07	116	LP-DIR-T:LT-T-Z	g	c114-10.45	698.0
this_study:10.1126/science.265.5178.1561	207.8	0.7	c114-10.45:LP-DIR-T:LT-T-Z	3.990000000000001e-07	117	LP-DIR-T:LT-T-Z	g	c114-10.45	723.0
this_study:10.1126/science.265.5178.1561	210.5	-1.7	c114-10.45:LP-DIR-T:LT-T-Z	2.635e-07	118	LP-DIR-T:LT-T-Z	g	c114-10.45	748.0
this_study:10.1126/science.265.5178.1561	214.8	4.5	c114-10.45:LP-DIR-T:LT-T-Z	1.009e-07	119	LP-DIR-T:LT-T-Z	g	c114-10.45	773.0
this_study:10.1126/science.265.5178.1561	208.3	-1.7	c114-10.45:LP-DIR-T:LT-T-Z	4.49e-08	120	LP-DIR-T:LT-T-Z	g	c114-10.45	798.0
this_study:10.1126/science.265.5178.1561	184.4	4.8	c114-10.45:LP-DIR-T:LT-T-Z	1.59e-08	121	LP-DIR-T:LT-T-Z	g	c114-10.45	823.0
this_study:10.1126/science.265.5178.1561	266.3	-20.4	c114-10.45:LP-DIR-T:LT-T-Z	3.6e-09	122	LP-DIR-T:LT-T-Z	g	c114-10.45	848.0
this_study:10.1126/science.265.5178.1561	149.3	-35.5	c114-10.45:LP-DIR-T:LT-T-Z	4.3e-09	123	LP-DIR-T:LT-T-Z	g	c114-10.45	873.0
this_study:10.1126/science.265.5178.1561	210.0	0.9	c114-10.46:LP-DIR-T:LT-T-Z	1.62077e-05	124	LP-DIR-T:LT-T-Z	g	c114-10.46	273.0
this_study:10.1126/science.265.5178.1561	209.6	0.7	c114-10.46:LP-DIR-T:LT-T-Z	1.6158699999999998e-05	125	LP-DIR-T:LT-T-Z	g	c114-10.46	323.0
this_study:10.1126/science.265.5178.1561	210.0	0.6	c114-10.46:LP-DIR-T:LT-T-Z	1.57998e-05	126	LP-DIR-T:LT-T-Z	g	c114-10.46	348.0
this_study:10.1126/science.265.5178.1561	210.6	1.1	c114-10.46:LP-DIR-T:LT-T-Z	1.5040000000000002e-05	127	LP-DIR-T:LT-T-Z	g	c114-10.46	373.0
this_study:10.1126/science.265.5178.1561	211.0	0.2	c114-10.46:LP-DIR-T:LT-T-Z	1.3686000000000002e-05	128	LP-DIR-T:LT-T-Z	g	c114-10.46	398.0
this_study:10.1126/science.265.5178.1561	212.1	0.3	c114-10.46:LP-DIR-T:LT-T-Z	1.15945e-05	129	LP-DIR-T:LT-T-Z	g	c114-10.46	423.0
this_study:10.1126/science.265.5178.1561	210.7	0.6	c114-10.46:LP-DIR-T:LT-T-Z	9.4726e-06	130	LP-DIR-T:LT-T-Z	g	c114-10.46	448.0
this_study:10.1126/science.265.5178.1561	211.2	0.8	c114-10.46:LP-DIR-T:LT-T-Z	7.5285e-06	131	LP-DIR-T:LT-T-Z	g	c114-10.46	473.0
this_study:10.1126/science.265.5178.1561	211.1	0.8	c114-10.46:LP-DIR-T:LT-T-Z	5.613900000000001e-06	132	LP-DIR-T:LT-T-Z	g	c114-10.46	498.0
this_study:10.1126/science.265.5178.1561	210.1	0.8	c114-10.46:LP-DIR-T:LT-T-Z	4.419100000000001e-06	133	LP-DIR-T:LT-T-Z	g	c114-10.46	523.0
this_study:10.1126/science.265.5178.1561	209.4	0.6	c114-10.46:LP-DIR-T:LT-T-Z	3.5469000000000003e-06	134	LP-DIR-T:LT-T-Z	g	c114-10.46	548.0
